,Value
Symbol,NVDA
AssetType,Common Stock
Name,NVIDIA Corporation
Description,"Nvidia Corporation is an American multinational technology company incorporated in Delaware and based in Santa Clara, California. It designs graphics processing units (GPUs) for the gaming and professional markets, as well as system on a chip units (SoCs) for the mobile computing and automotive market."
CIK,1045810
Exchange,NASDAQ
Currency,USD
Country,USA
Sector,MANUFACTURING
Industry,SEMICONDUCTORS & RELATED DEVICES
Address,"2701 SAN TOMAS EXPRESSWAY, SANTA CLARA, CA, US"
OfficialSite,https://www.nvidia.com
FiscalYearEnd,January
LatestQuarter,2025-04-30
MarketCapitalization,3847144079000
EBITDA,88247001000
PERatio,50.72
PEGRatio,1.956
BookValue,3.438
DividendPerShare,0.04
DividendYield,0.0003
EPS,3.11
RevenuePerShareTTM,6.06
ProfitMargin,0.517
OperatingMarginTTM,0.491
ReturnOnAssetsTTM,0.532
ReturnOnEquityTTM,1.155
RevenueTTM,148514996000
GrossProfitTTM,104120001000
DilutedEPSTTM,3.11
QuarterlyEarningsGrowthYOY,0.267
QuarterlyRevenueGrowthYOY,0.692
AnalystTargetPrice,173.92
AnalystRatingStrongBuy,12
AnalystRatingBuy,45
AnalystRatingHold,6
AnalystRatingSell,1
AnalystRatingStrongSell,0
TrailingPE,50.72
ForwardPE,36.76
PriceToSalesRatioTTM,25.9
PriceToBookRatio,45.88
EVToRevenue,25.62
EVToEBITDA,41.82
Beta,2.122
52WeekHigh,158.71
52WeekLow,86.61
50DayMovingAverage,129.56
200DayMovingAverage,129.2
SharesOutstanding,24387600000
SharesFloat,23418388000
PercentInsiders,4.330
PercentInstitutions,67.543
DividendDate,2025-07-03
ExDividendDate,2025-06-11
